,0,1,2,3
510,LXXXXVIIII_116,when,1283-11-25,fol_213v
511,XXVII_56,from,1285-01-01,fol_114v
512,CCCCLXXXXVI_457,when,1285-01-03,fol_374r
513,CCCCLXXXXVII_458,when,1285-02-09,fol_374v
514,CCCCLXXXX_451,when,1285-02-09,fol_369v
515,C_117,when,1285-02-12,fol_214r
516,XXVIIII_58,when,1285-04-04,fol_116v
517,CCCCLXXXVIIII_450,when,1285-04-29,none
518,CCCCLXXXVIII_450,when,1285-04-29,none
519,XXIII_52,when,1285-05-15,none
520,C20,when,1285-10,none
521,XXXII_61,when,1286-03-16,fol_118v
522,XXXIII_62,when,1286-03-18,none
523,XXXIIII_63,when,1286-03-19,fol_119r
524,XXXXI_XXXXII_70,from,1287-08-09,fol_132r
525,C26,from,1287-12-12,none
526,F29,when,1287-12-12,fol_057r
527,A01,from,1288-09-24,fol_005r
528,DLVI_519,when,1289-02-14,fol_408v
529,B02,from,1289-09-24,fol_008v
530,DLVIbis_520,from,1289-09-24,none
531,D27,when,1297-11-10,fol_054r
532,E28,when,1487-08-09,fol_056v
533,C23,none,none,fol_042v
534,CXXXIII_150,none,none,none
535,CXXXII_149,none,none,fol_232v
536,XXXI_60,none,none,fol_118r
