,0,1,2,3,4,5,6,7,8,9
66,Adiutus,Adiutus / Aiutus,,M,,,DVIIII_470,1184-04-03,38,"['DVIIII_470', 'CCLI_212', 'CCCXLVI_308', 'CCXLVIIII_210', 'CCCCXXX_391', 'CCXLVIII_209', 'CCC_262', 'CCCXVI_278', 'CCL_211', 'CCCXVIIII_281', 'CCXVIII_179', 'CCCLXXXI_343', 'LVIII_85', 'CCCCLXXXVeCCCCLXXXVI_447', 'CCCCXLIIII_405', 'DVI_467', 'CCCCXXXXV_406', 'DV_466', 'LXVI_93', 'CCCXV_277', 'CLV_173', 'CCCCXVIIII_380', 'CCCCXVIII_379', 'CCCLXXXIII_344', 'CLII_170', 'CLIII_171', 'CLIIII_172', 'CXLIIII_162', 'CCCCXIIII_375', 'CCCCXV_376', 'CCCCLXXXXIIII_455', 'DLIIII_516', 'CCLXXXXII_254', 'CCCCXXXII_393', 'CXLII_160', 'CCCXXVIIII_291', 'CXXXVIIII_156', 'CXXXVIII_155']"
67,Adiutuscap,Adiutus / Aiutus,,M,capellanus domini Guilielmi,,CCCLXXXI_343,1253-12-25,6,"['CCCLXXXI_343', 'LVIII_85', 'CCCXV_277', 'CLV_173', 'CCCCXIIII_375', 'CCCCXV_376']"
68,Adiutusnot,Adiutus / Aiutus,,M,sacri palatii notarius,Attestato dal 1230 al 1260.,DVIIII_470,1184-04-03,31,"['DVIIII_470', 'CCLI_212', 'CCXLVIIII_210', 'CCCCXXX_391', 'CCXLVIII_209', 'CCCXVI_278', 'CCL_211', 'CCCXVIIII_281', 'CCXVIII_179', 'CCCCLXXXVeCCCCLXXXVI_447', 'CCCCXLIIII_405', 'DVI_467', 'CCCCXXXXV_406', 'DV_466', 'LXVI_93', 'CLV_173', 'CCCCXVIIII_380', 'CCCCXVIII_379', 'CCCLXXXIII_344', 'CLII_170', 'CLIII_171', 'CLIIII_172', 'CXLIIII_162', 'CCCCLXXXXIIII_455', 'DLIIII_516', 'CCLXXXXII_254', 'CCCCXXXII_393', 'CXLII_160', 'CCCXXVIIII_291', 'CXXXVIIII_156', 'CXXXVIII_155']"
69,Aiutuspres,Adiutus / Aiutus,de valle Ylioli,M,presbiter,,CCCCLXXX_442,1254-07-29,3,"['CCCCLXXX_442', 'CCLXXXXVIIII_261', 'CCCLXXXXVII_358']"
70,Aiutuspres2,Adiutus / Aiutus,,M,cappellanus episcopi,,CCCCLXXX_442,1254-07-29,2,"['CCCCLXXX_442', 'CCCLXXXXVII_358']"
71,AdiutusDominici,Adiutus / Aiutus,quondam Dominici,M,,,CCCXVI_278,1230-06-01,1,['CCCXVI_278']
72,Admiratus,Admiratus,,M,,,C03,1273-04-25,3,"['C03', 'C24', 'G528']"
73,AiutusLune,Adiutus / Aiutus,de Lune / de Luna ,M,,,CCCLVIII_320,1232-11-30,3,"['CCCLVIII_320', 'C03', 'G528']"
74,AiutusPlaça,Adiutus / Aiutus,de Plaça,M,,,C03,1273-04-25,2,"['C03', 'G528']"
75,AdornellusMartignoni,Adornellus,Martignoni,M,,,CCCCXXVIIII_390,1266-06-13,1,['CCCCXXVIIII_390']
76,AdornellusTranchedinot,Adornellus,domini Tranchedi comitis de Advocatis de Luca,M,notarius,Attestato nel 1281.,CXXVI_143,1281-02-02,1,['CXXVI_143']
77,Adornetus,Adornetus / Adornettus / Addornettus,,M,,,LIIII_81,1219-05-01,16,"['LIIII_81', 'CCCCXL_401', 'XXXV_64', 'CCCCXLVIII_409', 'CCCCXLVIIII_410', 'XXXXV_73', 'C25', 'CCCLXXXI_343', 'LXVI_93', 'CCCCXXVIIII_390', 'CCCCXXVIII_389', 'LX_87', 'C03', 'G528', 'LI_LII_79', 'XXVII_56']"
78,Adornetuscon,Adornetus / Adornettus / Addornettus,,M,consiliarius de Albiano,forse da identificarsicon Adornetus quondam Paganucii,CCCCXXVIIII_390,1266-06-13,1,['CCCCXXVIIII_390']
79,AdornetusArdoini,Adornetus / Adornettus / Addornettus,quondam Ardoini,M,,,C03,1273-04-25,2,"['C03', 'G528']"
80,AdornetusBalognano,Adornetus / Adornettus / Addornettus,de Balognano,M,,,C25,1252-07-30,2,"['C25', 'CCCLXXXI_343']"
81,AdornetusBontalenti,Adornetus / Adornettus / Addornettus,Bontalenti,M,,,LI_LII_79,1278-09-03,1,['LI_LII_79']
82,AdornetusBordoni,Adornetus / Adornettus / Addornettus,quondam Bordoni de Sarzana / Bordoni,M,,,LXVI_93,1255-05-16,3,"['LXVI_93', 'LI_LII_79', 'XXVII_56']"
83,AdornetusCaraxio,Adornetus / Adornettus / Addornettus,de Caraxio,M,,,CCCCXLVIIII_410,1237-12-22,1,['CCCCXLVIIII_410']
84,AdornetusMartignoni,Adornetus / Adornettus / Addornettus,Martignoni,M,,,CCCCXXVIII_389,1266-08-22,1,['CCCCXXVIII_389']
85,AdornetusNoceto,Adornetus / Adornettus / Addornettus,de Noceto,M,,,XXXXV_73,1245-02-28,1,['XXXXV_73']
86,AdornetusPaganucii,Adornetus / Adornettus / Addornettus,quondam Paganucii,M,consiliarius de Albiano,,CCCCXXVIII_389,1266-08-22,1,['CCCCXXVIII_389']
87,AdornetusProva,Adornetus / Adornettus / Addornettus,de Prova,M,,,LIIII_81,1219-05-01,1,['LIIII_81']
88,AdornetusRustero,Adornetus / Adornettus / Addornettus,de Rustero,M,,,C03,1273-04-25,1,['C03']
89,AdornusGuilielmi,Adornus / Addornus,quondam Guilielmi de Fancello ,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
90,AdornusSarzana_notarius,Adornus / Addornus,de Sarzana,M,notarius,Attestato nel 1275.,C07,1225-10-16,1,['C07']
91,AdornusValleporcara,Adornus / Addornus,de Valleporcara,M,,,C03,1273-04-25,1,['C03']
92,Aduellus,Aduellus,,M,,,C03,1273-04-25,1,['C03']
93,Advenans,Advenans / Avenans,,M,,,CCCCXVI_377,1256-06-04,2,"['CCCCXVI_377', 'DXIIII_475']"
94,AvenansCastro,Advenans / Avenans,de Castro Sarzane,M,,,CCCCXVIII_379,1255-09-21,1,['CCCCXVIII_379']
